STATE FIPS,COUNTY FIPS,PLANNING REGION FIPS,PLANNING REGION NAME,TOWN FIPS,TOWN NAME,SEX,AGEGRP,AGE_CODE,ALL_RACE-ETHN,NH_WHITE,NH_BLACK,NH_AIAN,NH_ASIAN,NH_NHOPI,NH_TOM,HISP
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,80--84,17,546,445,25,1,33,0,3,39
09,001,190,Western Connecticut Planning Region,18500,Danbury town,MALE,85+,18,523,439,20,0,21,0,2,41
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,00--04,1,2461,893,191,2,141,0,105,1129
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,05--09,2,2391,820,172,5,159,0,104,1131
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,10--14,3,2473,887,213,3,129,0,86,1155
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,15--19,4,2393,861,196,9,195,2,93,1037
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,20--24,5,2970,1428,212,1,128,10,100,1091
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,25--29,6,2897,1246,243,4,216,0,72,1116
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,30--34,7,3055,1366,243,2,253,0,46,1145
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,35--39,8,2997,1254,274,2,256,4,49,1158
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,40--44,9,2956,1221,309,8,211,0,44,1163
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,45--49,10,2786,1295,243,2,228,1,55,962
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,50--54,11,2976,1621,278,2,196,0,57,822
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,55--59,12,3100,1955,254,1,212,0,49,629
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,60--64,13,2812,1954,208,1,184,0,18,447
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,65--69,14,2319,1721,128,0,134,0,18,318
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,70--74,15,1776,1336,115,1,82,0,9,233
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,75--79,16,1196,926,81,0,69,0,14,106
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,80--84,17,792,604,54,0,36,0,4,94
09,001,190,Western Connecticut Planning Region,18500,Danbury town,FEMALE,85+,18,958,815,24,1,23,0,6,89
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,00--04,1,688,560,5,0,43,0,39,41
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,05--09,2,962,771,5,0,57,0,60,69
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,10--14,3,1102,907,11,0,72,0,50,62
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,15--19,4,1027,877,13,2,51,1,27,56
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,20--24,5,498,443,3,0,8,0,7,37
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,25--29,6,257,212,2,2,12,0,5,24
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,30--34,7,312,262,1,2,12,0,9,26
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,35--39,8,572,483,6,1,40,0,10,32
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,40--44,9,786,665,3,0,70,1,14,33
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,45--49,10,813,680,10,1,74,0,5,43
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,50--54,11,897,808,2,0,38,1,5,43
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,55--59,12,795,707,6,0,38,0,5,39
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,60--64,13,664,610,3,0,24,2,4,21
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,65--69,14,430,400,5,0,3,0,2,20
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,70--74,15,312,286,3,0,15,0,3,5
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,75--79,16,242,225,0,0,7,0,1,9
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,80--84,17,133,122,0,0,4,0,3,4
09,001,190,Western Connecticut Planning Region,18850,Darien town,MALE,85+,18,142,132,1,0,3,0,0,6
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,00--04,1,697,591,4,1,24,0,28,49
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,05--09,2,872,711,2,1,43,0,56,59
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,10--14,3,1053,859,9,0,60,0,43,82
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,15--19,4,962,805,6,0,52,0,38,61
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,20--24,5,510,426,3,1,16,0,18,46
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,25--29,6,266,205,9,1,11,0,15,25
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,30--34,7,357,294,8,1,20,1,13,20
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,35--39,8,656,534,6,0,66,0,3,47
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,40--44,9,785,626,4,0,94,0,8,53
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,45--49,10,918,743,12,1,84,1,14,63
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,50--54,11,897,774,7,0,59,1,6,50
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,55--59,12,794,710,8,1,27,0,9,39
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,60--64,13,627,557,6,1,32,0,6,25
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,65--69,14,446,415,3,1,20,0,0,7
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,70--74,15,326,309,4,0,2,0,0,11
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,75--79,16,260,244,1,0,8,0,3,4
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,80--84,17,192,179,1,0,7,0,0,5
09,001,190,Western Connecticut Planning Region,18850,Darien town,FEMALE,85+,18,250,228,4,0,9,0,0,9
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,00--04,1,206,165,3,0,7,0,10,21
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,05--09,2,225,178,5,0,13,0,12,17
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,10--14,3,307,255,5,4,12,0,11,20
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,15--19,4,293,246,0,0,9,0,19,19
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,20--24,5,204,174,1,0,7,0,3,19
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,25--29,6,135,113,3,0,11,0,1,7
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,30--34,7,131,112,1,0,6,0,3,9
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,35--39,8,184,150,4,0,8,0,3,19
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,40--44,9,217,185,4,1,14,0,4,9
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,45--49,10,254,217,2,0,13,0,9,13
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,50--54,11,296,264,9,0,7,0,2,14
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,55--59,12,367,324,6,0,9,0,3,25
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,60--64,13,345,311,7,0,13,0,6,8
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,65--69,14,246,225,2,0,5,0,5,9
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,70--74,15,176,166,0,0,7,0,0,3
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,75--79,16,134,123,4,0,3,0,1,3
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,80--84,17,83,76,2,0,2,0,3,0
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,MALE,85+,18,63,58,2,0,2,0,0,1
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,00--04,1,167,126,2,0,11,0,13,15
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,05--09,2,214,164,5,0,10,0,13,22
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,10--14,3,295,235,7,0,9,0,15,29
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,15--19,4,247,214,3,0,13,0,0,17
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,20--24,5,207,170,6,0,10,0,5,16
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,25--29,6,115,101,2,0,4,0,3,5
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,30--34,7,142,121,1,0,10,0,4,6
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,35--39,8,220,180,0,0,17,0,7,16
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,40--44,9,201,167,3,0,18,0,3,10
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,45--49,10,262,215,6,1,14,0,8,18
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,50--54,11,313,260,9,0,14,0,5,25
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,55--59,12,365,325,4,0,14,0,5,17
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,60--64,13,311,285,4,0,13,0,2,7
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,65--69,14,214,199,0,0,8,0,0,7
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,70--74,15,172,157,3,0,6,1,0,5
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,75--79,16,116,108,1,0,4,0,0,3
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,80--84,17,73,72,0,0,1,0,0,0
09,001,120,Greater Bridgeport Planning Region,23890,Easton town,FEMALE,85+,18,94,86,1,0,1,0,0,6
09,001,120,Greater Bridgeport Planning Region,26620,Fairfield town,MALE,00--04,1,1498,1159,28,1,69,1,84,156
09,001,120,Greater Bridgeport Planning Region,26620,Fairfield town,MALE,05--09,2,1827,1375,40,0,97,0,111,204
09,001,120,Greater Bridgeport Planning Region,26620,Fairfield town,MALE,10--14,3,2193,1709,41,3,128,0,103,209
09,001,120,Greater Bridgeport Planning Region,26620,Fairfield town,MALE,15--19,4,2989,2399,59,1,102,0,104,324
09,001,120,Greater Bridgeport Planning Region,26620,Fairfield town,MALE,20--24,5,2276,1883,41,1,65,0,61,225
09,001,120,Greater Bridgeport Planning Region,26620,Fairfield town,MALE,25--29,6,1010,779,36,0,59,0,34,102
